ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
0,0,I2C_MST_ODR_CONFIG,R/W,,,,,I2C_MST_ODR_CONFIG[3:0],I2C_MST_ODR_CONFIG[3:0],I2C_MST_ODR_CONFIG[3:0],I2C_MST_ODR_CONFIG[3:0]
1,1,I2C_MST_CTRL,R/W,MULT_MST_EN,,,I2C_MST_P_NSR,I2C_MST_CLK[3:0],I2C_MST_CLK[3:0],I2C_MST_CLK[3:0],I2C_MST_CLK[3:0]
2,2,I2C_MST_DELAY_CTRL,R/W,DELAY_ES_SHADOW,,,I2C_SLV4_DELAY_EN,I2C_SLV3_DELAY_EN,I2C_SLV2_DELAY_EN,I2C_SLV1_DELAY_EN,I2C_SLV0_DELAY_EN
3,3,I2C_SLV0_ADDR,R/W,I2C_SLV0_RNW,I2C_ID_0[6:0],I2C_ID_0[6:0],I2C_ID_0[6:0],I2C_ID_0[6:0],I2C_ID_0[6:0],I2C_ID_0[6:0],I2C_ID_0[6:0]
4,4,I2C_SLV0_REG,R/W,I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0],I2C_SLV0_REG[7:0]
5,5,I2C_SLV0_CTRL,R/W,I2C_SLV0_EN,I2C_SLV0_BYTE_SW,I2C_SLV0_REG_DIS,I2C_SLV0_GRP,I2C_SLV0_LENG[3:0],I2C_SLV0_LENG[3:0],I2C_SLV0_LENG[3:0],I2C_SLV0_LENG[3:0]
6,6,I2C_SLV0_DO,R/W,I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0],I2C_SLV0_DO[7:0]
7,7,I2C_SLV1_ADDR,R/W,I2C_SLV1_RNW,I2C_ID_1[6:0],I2C_ID_1[6:0],I2C_ID_1[6:0],I2C_ID_1[6:0],I2C_ID_1[6:0],I2C_ID_1[6:0],I2C_ID_1[6:0]
8,8,I2C_SLV1_REG,R/W,I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0],I2C_SLV1_REG[7:0]
9,9,I2C_SLV1_CTRL,R/W,I2C_SLV1_EN,I2C_SLV1_BYTE_SW,I2C_SLV1_REG_DIS,I2C_SLV1_GRP,I2C_SLV1_LENG[3:0],I2C_SLV1_LENG[3:0],I2C_SLV1_LENG[3:0],I2C_SLV1_LENG[3:0]
0A,10,I2C_SLV1_DO,R/W,I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0],I2C_SLV1_DO[7:0]
0B,11,I2C_SLV2_ADDR,R/W,I2C_SLV2_RNW,I2C_ID_2[6:0],I2C_ID_2[6:0],I2C_ID_2[6:0],I2C_ID_2[6:0],I2C_ID_2[6:0],I2C_ID_2[6:0],I2C_ID_2[6:0]
0C,12,I2C_SLV2_REG,R/W,I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0],I2C_SLV2_REG[7:0]
0D,13,I2C_SLV2_CTRL,R/W,I2C_SLV2_EN,I2C_SLV2_BYTE_SW,I2C_SLV2_REG_DIS,I2C_SLV2_GRP,I2C_SLV2_LENG[3:0],I2C_SLV2_LENG[3:0],I2C_SLV2_LENG[3:0],I2C_SLV2_LENG[3:0]
0E,14,I2C_SLV2_DO,R/W,I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0],I2C_SLV2_DO[7:0]
0F,15,I2C_SLV3_ADDR,R/W,I2C_SLV3_RNW,I2C_ID_3[6:0],I2C_ID_3[6:0],I2C_ID_3[6:0],I2C_ID_3[6:0],I2C_ID_3[6:0],I2C_ID_3[6:0],I2C_ID_3[6:0]
10,16,I2C_SLV3_REG,R/W,I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0],I2C_SLV3_REG[7:0]
11,17,I2C_SLV3_CTRL,R/W,I2C_SLV3_EN,I2C_SLV3_BYTE_SW,I2C_SLV3_REG_DIS,I2C_SLV3_GRP,I2C_SLV3_LENG[3:0],I2C_SLV3_LENG[3:0],I2C_SLV3_LENG[3:0],I2C_SLV3_LENG[3:0]
12,18,I2C_SLV3_DO,R/W,I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0],I2C_SLV3_DO[7:0]
13,19,I2C_SLV4_ADDR,R/W,I2C_SLV4_RNW,I2C_ID_4[6:0],I2C_ID_4[6:0],I2C_ID_4[6:0],I2C_ID_4[6:0],I2C_ID_4[6:0],I2C_ID_4[6:0],I2C_ID_4[6:0]
14,20,I2C_SLV4_REG,R/W,I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0],I2C_SLV4_REG[7:0]
15,21,I2C_SLV4_CTRL,R/W,I2C_SLV4_EN,I2C_SLV4_BYTE_SW,I2C_SLV4_REG_DIS,I2C_SLV4_DLY[4:0],I2C_SLV4_DLY[4:0],I2C_SLV4_DLY[4:0],I2C_SLV4_DLY[4:0],I2C_SLV4_DLY[4:0]
16,22,I2C_SLV4_DO,R/W,I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0],I2C_SLV4_DO[7:0]
17,23,I2C_SLV4_DI,R,I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0],I2C_SLV4_DI[7:0]
7F,127,REG_BANK_SEL,R/W,,,USER_BANK[1:0],USER_BANK[1:0],,,,
