ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
8,8,REF_P_XL,R/W,REFL[7:0],REFL[7:0],REFL[7:0],REFL[7:0],REFL[7:0],REFL[7:0],REFL[7:0],REFL[7:0]
9,9,REF_P_L,R/W,REFL[15:8],REFL[15:8],REFL[15:8],REFL[15:8],REFL[15:8],REFL[15:8],REFL[15:8],REFL[15:8]
0A,10,REF_P_H,R/W,REFL[23:16],REFL[23:16],REFL[23:16],REFL[23:16],REFL[23:16],REFL[23:16],REFL[23:16],REFL[23:16]
10,16,RES_CONF,R/W,,,,,AVGT1,AVGT0,AVGP1,AVGP0
0x60,96,ASTATUS,,ASAT_STATUS,,,,AGAIN_STATUS [3:0],AGAIN_STATUS [3:0],AGAIN_STATUS [3:0],AGAIN_STATUS [3:0]
0x61,97,CH0_DATA_L ,,CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0],CH0_DATA_L [7:0]
0x62,98,CH0_DATA_H,,CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0],CH0_DATA_H [7:0]
0x63,99,ITIME_L,,ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0],ITIME_L [7:0]
0x64,100,ITIME_M,,ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0],ITIME_M [7:0]
0x65,101,ITIME_H,,ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0],ITIME_H [7:0]
0x66,102,CH1_DATA_L,,CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0],CH1_DATA_L [7:0]
0x67,103,CH1_DATA_H,,CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0],CH1_DATA_H [7:0]
0x68,104,CH2_DATA_L,,CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0],CH2_DATA_L [7:0]
0x69,105,CH2_DATA_H,,CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0],CH2_DATA_H [7:0]
0x6A,106,CH3_DATA_L,,CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0],CH3_DATA_L [7:0]
0x6B,107,CH3_DATA_H,,CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0],CH3_DATA_H [7:0]
