ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
0x00,0,SMUX_NC_F3L,,,,,,,F3L[2:0],F3L[2:0],F3L[2:0]
0x01,1,SMUX_F1L_NC,,,F1L[6:4],F1L[6:4],F1L[6:4],,,,
0x02,2,SMUX_NC_NC0,,,,,,,,,
0x03,3,SMUX_NC_F8L,,,,,,,F8L[2:0],F8L[2:0],F8L[2:0]
0x04,4,SMUX_F6L_NC,,,F6L[6:4],F6L[6:4],F6L[6:4],,,,
0x05,5,SMUX_F2L_F4L,,,F2L[6:4],F2L[6:4],F2L[6:4],,F4L[2:0],F4L[2:0],F4L[2:0]
0x06,6,SMUX_NC_F5L,,,,,,,F5L[2:0],F5L[2:0],F5L[2:0]
0x07,7,SMUX_F7L_NC,,,F7L[6:4],F7L[6:4],F7L[6:4],,,,
0x08,8,SMUX_NC_CL,,,,,,,CL[2:0],CL[2:0],CL[2:0]
0x09,9,SMUX_NC_F5R,,,,,,,F5R[2:0],F5R[2:0],F5R[2:0]
0x0A,10,SMUX_F7R_NC,,,F7R[6:4],F7R[6:4],F7R[6:4],,,,
0x0B,11,SMUX_NC_NC1,,,,,,,,,
0x0C,12,SMUX_NC_F2R,,,,,,,F2R[2:0],F2R[2:0],F2R[2:0]
0x0D,13,SMUX_F4R_NC,,,F4R[6:4],F4R[6:4],F4R[6:4],,,,
0x0E,14,SMUX_F8R_F6R,,,F8R[6:4],F8R[6:4],F8R[6:4],,F6R[2:0],F6R[2:0],F6R[2:0]
0x0F,15,SMUX_NC_F3R,,,,,,,F3R[2:0],F3R[2:0],F3R[2:0]
0x10,16,SMUX_F1R_EXT_GPIO,,,F1R[6:4],F1R[6:4],F1R[6:4],,EXT_GPIO[2:0],EXT_GPIO[2:0],EXT_GPIO[2:0]
0x11,17,SMUX_EXT_INT_CR,,,EXT_INT[6:4],EXT_INT[6:4],EXT_INT[6:4],,CR[2:0],CR[2:0],CR[2:0]
0x12,18,SMUX_NC_DARK,,,,,,,DARK[2:0],DARK[2:0],DARK[2:0]
0x13,19,SMUX_NIR_F,,,NIR[6:4],NIR[6:4],NIR[6:4],,F[2:0],F[2:0],F[2:0]
0x60,96,ASTATUS,,ASAT_STATUS,,,,AGAIN_STATUS[3:0],AGAIN_STATUS[3:0],AGAIN_STATUS[3:0],AGAIN_STATUS[3:0]
0x61,97,CH0_DATA_L,,CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0],CH0_DATA_L[7:0]
0x62,98,CH0_DATA_H,,CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0],CH0_DATA_H[7:0]
0x63,99,ITIME_L,,ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0],ITIME_L[7:0]
0x64,100,ITIME_M,,ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0],ITIME_M[7:0]
0x65,101,ITIME_H,,ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0],ITIME_H[7:0]
0x66,102,CH1_DATA_L,,CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0],CH1_DATA_L[7:0]
0x67,103,CH1_DATA_H,,CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0],CH1_DATA_H[7:0]
0x68,104,CH2_DATA_L,,CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0],CH2_DATA_L[7:0]
0x69,105,CH2_DATA_H,,CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0],CH2_DATA_H[7:0]
0x6A,106,CH3_DATA_L,,CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0],CH3_DATA_L[7:0]
