ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
2,2,SELF_TEST_X_GYRO,R/W,XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0],XG_ST_DATA[7:0]
3,3,SELF_TEST_Y_GYRO,R/W,YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0],YG_ST_DATA[7:0]
4,4,SELF_TEST_Z_GYRO,R/W,ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0],ZG_ST_DATA[7:0]
0E,14,SELF_TEST_X_ACCEL,R/W,XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0],XA_ST_DATA[7:0]
0F,15,SELF_TEST_Y_ACCEL,R/W,YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0],YA_ST_DATA[7:0]
10,16,SELF_TEST_Z_ACCEL,R/W,ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0],ZA_ST_DATA[7:0]
14,20,XA_OFFS_H,R/W,XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7],XA_OFFS[14:7]
15,21,XA_OFFS_L,R/W,XA_OFFS[6:0],XA_OFFS[6:0],XA_OFFS[6:0],XA_OFFS[6:0],XA_OFFS[6:0],XA_OFFS[6:0],XA_OFFS[6:0],
17,23,YA_OFFS_H,R/W,YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7],YA_OFFS[14:7]
18,24,YA_OFFS_L,R/W,YA_OFFS[6:0],YA_OFFS[6:0],YA_OFFS[6:0],YA_OFFS[6:0],YA_OFFS[6:0],YA_OFFS[6:0],YA_OFFS[6:0],
1A,26,ZA_OFFS_H,R/W,ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7],ZA_OFFS[14:7]
1B,27,ZA_OFFS_L,R/W,ZA_OFFS[6:0],ZA_OFFS[6:0],ZA_OFFS[6:0],ZA_OFFS[6:0],ZA_OFFS[6:0],ZA_OFFS[6:0],ZA_OFFS[6:0],
28,40,TIMEBASE_CORRECTION_PLL,R/W,TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0],TBC_PLL[7:0]
7F,127,REG_BANK_SEL,R/W,,,USER_BANK[1:0],USER_BANK[1:0],,,,
